Time;Frame;GroundTruth x;GroundTruth y;GroundTruth v_x;GroundTruth v_y;Measurement x;Measurement y;Kalman x;Kalman y;Kalman v_x;Kalman v_y;KalmanP x;KalmanP y
31,55405;196;-3,667609;2,319295;0,850606;-0,5257487;-3,711216;2,351761;-4,109798;2,937714;0,4404687;0,3169796;0,2872775;1,482053
31,55486;196;-3,65058;2,308806;0,8514524;-0,5244493;0;0;-4,065578;2,915521;0,4781231;0,2997463;0,2725485;1,445177
31,60684;197;-3,633534;2,298345;0,8522987;-0,5230427;-3,71302;2,757626;-4,056015;2,921516;0,4781231;0,2997463;0,2843763;1,480501
31,60725;197;-3,616469;2,287915;0,8532524;-0,5215049;0;0;-4,016446;2,919336;0,50985;0,2948185;0,2699819;1,443667
31,60752;197;-3,599384;2,277518;0,8542418;-0,5198479;0;0;-4,006249;2,925232;0,50985;0,2948185;0,2816329;1,478883
31,65883;198;-3,582278;2,267155;0,8553028;-0,5181551;-3,655176;2,553986;-3,996052;2,931129;0,50985;0,2948185;0,2937566;1,514924
31,65928;198;-3,56515;2,256828;0,8563995;-0,5163431;0;0;-3,955215;2,918186;0,5419807;0,2834996;0,2779754;1,475476
31,72052;199;-3,548;2,246539;0,8574963;-0,5144477;-3,611481;2,755089;-3,944375;2,923856;0,5419807;0,2834996;0,28987;1,511348
31,72111;199;-3,530826;2,236289;0,8587003;-0,5125046;0;0;-3,904059;2,920966;0,5727329;0,2783682;0,2745781;1,472089
31,72147;199;-3,513628;2,226079;0,8599043;-0,5105019;0;0;-3,892605;2,926534;0,5727329;0,2783682;0,2862688;1,5078
31,77479;200;-3,496406;2,215912;0,8610964;-0,5083442;-3,568482;2,597711;-3,88115;2,932101;0,5727329;0,2783682;0,2984312;1,54434
31,77519;200;-3,479157;2,205788;0,8624554;-0,5062103;0;0;-3,841396;2,920642;0,6020433;0,268196;0,2818493;1,502499
31,77543;200;-3,461883;2,195709;0,8636951;-0,5039454;0;0;-3,829355;2,926006;0,6020433;0,268196;0,2937603;1,538819
